#clorosos	#planta	#fondo
"171,92,181"	"159,93,6"	"57,107,166"
"165,65,179"	"165,91,6"	"59,108,167"
"170,65,149"	"166,88,3"	"60,106,166"
"157,50,76"	"171,89,5"	"58,104,164"
"157,54,107"	"170,84,1"	"55,104,163"
"160,57,60"	"149,82,3"	"59,144,165"
"161,59,37"	"148,83,3"	"53,138,159"
"134,96,173"	"150,83,4"	"53,140,160"
"145,79,179"	"154,83,5"	"47,138,159"
"144,80,177"	"156,83,4"	"48,139,160"
"142,81,176"	"159,83,5"	"50,142,163"
"138,81,176"	"157,84,5"	"51,139,161"
"141,86,179"	"157,81,3"	"50,136,159"
"141,97,176"	"149,99,2"	"54,139,160"
"156,90,180"	"151,98,4"	"52,138,151"
"166,89,183"	"151,98,6"	"53,136,150"
"168,89,180"	"152,97,6"	"52,135,151"
"167,88,179"	"157,93,3"	"51,134,152"
"168,90,189"	"160,93,4"	"50,133,151"
"166,89,169"	"163,92,4"	"47,125,147"
"169,68,160"	"167,89,4"	"46,124,146"
"170,64,128"	"170,88,4"	"47,123,146"
"180,73,89"	"164,90,3"	"46,122,145"
"171,68,121"	"166,90,4"	"49,124,147"
"158,57,61"	"167,87,2"	"51,123,147"
"164,60,33"	"166,86,1"	"52,122,147"
"135,86,177"	"167,85,1"	"50,120,145"
"153,91,177"	"172,86,3"	"50,120,146"
"164,88,179"	"154,81,4"	"49,119,145"
"168,90,176"	"151,82,4"	"49,121,146"
"167,87,176"	"153,81,5"	"67,75,122"
"165,88,184"	"154,80,5"	"65,71,119"
"168,90,165"	"158,80,5"	"69,75,123"
"151,81,151"	"157,79,5"	"52,106,168"
"135,69,96"	"159,80,5"	"56,104,168"
"150,81,112"	"149,99,4"	"58,106,170"
"147,90,141"	"151,96,3"	"57,105,169"
"142,81,60"	"158,94,4"	"57,107,170"
"142,80,43"	"159,94,4"	"58,108,171"
	"158,91,2"	"57,108,171"
	"160,90,4"	"56,110,172"
	"161,89,4"	"64,147,163"
	"164,88,2"	"63,146,162"
	"163,87,1"	"65,143,165"
	"164,86,1"	"63,144,165"
	"167,87,0"	"62,144,165"
	"169,87,5"	"58,142,166"
	"154,86,3"	"56,143,163"
	"150,88,3"	"54,142,162"
	"151,89,2"	"50,138,158"
	"150,90,2"	"54,145,164"
	"149,92,2"	"53,141,161"
	"148,93,2"	"53,143,151"
	"143,94,1"	"52,140,150"
	"138,95,0"	"53,141,151"
	"137,97,0"	"55,141,154"
	"155,96,4"	"46,134,148"
	"162,91,3"	"52,140,154"
	"163,85,0"	"52,140,152"
	"163,89,2"	"51,139,151"
	"161,90,2"	"50,136,149"
	"132,96,2"	"51,137,150"
	"128,97,4"	"56,139,153"
	"135,91,4"	"47,128,145"
	"136,90,5"	"49,128,145"
	"136,88,6"	"48,126,146"
	"135,89,4"	"47,125,145"
	"150,108,58"	"48,125,145"
	"131,92,15"	"47,124,144"
	"128,93,3"	"70,73,124"
	"126,93,0"	"69,72,123"
	"123,95,0"	"69,73,120"
	"124,94,0"	"70,74,121"
	"132,96,0"	"68,72,119"
	"130,97,0"	"54,122,167"
	"130,95,3"	"53,121,168"
	"135,86,7"	"52,118,166"
	"150,105,72"	"51,117,165"
	"131,92,17"	"55,117,166"
	"129,95,0"	"56,116,168"
	"124,93,0"	"55,115,167"
	"125,91,2"	"55,112,165"
	"127,92,2"	"55,110,164"
	"153,87,3"	"54,109,163"
	"148,91,2"	"59,111,168"
	"147,92,1"	"60,111,168"
	"147,94,2"	"60,110,169"
	"146,95,3"	"59,109,168"
	"144,98,4"	"59,110,167"
	"140,100,4"	"63,146,160"
	"135,101,3"	"70,153,167"
	"134,102,1"	"68,151,165"
	"156,95,2"	"65,151,164"
	"156,95,4"	"64,150,163"
	"174,85,3"	"66,149,165"
	"161,87,0"	"67,150,166"
	"159,89,1"	"69,152,168"
	"142,90,6"	"65,151,166"
	"130,96,0"	"62,148,163"
	"126,98,1"	"61,147,162"
	"120,97,1"	"50,138,162"
	"124,98,5"	"57,145,169"
	"135,86,9"	"47,137,161"
	"150,105,64"	"54,142,166"
	"130,93,12"	"57,143,168"
	"125,95,0"	"53,137,161"
	"126,92,2"	"49,138,152"
	"123,92,2"	"44,125,146"
	"151,89,4"	"45,126,147"
	"150,90,4"	"48,129,150"
	"149,94,3"	"46,128,149"
	"141,97,2"	"47,128,149"
	"136,98,1"	"45,125,148"
	"135,100,0"	"46,126,149"
	"155,94,3"	"49,129,154"
	"158,93,3"	"48,128,153"
	"175,86,4"	"49,126,154"
	"165,89,3"	"50,127,155"
	"162,86,0"	"51,124,156"
	"162,88,1"	"61,73,121"
	"160,90,2"	"64,76,124"
	"132,117,0"	"48,104,165"
	"132,114,2"	"56,108,168"
	"132,115,9"	"55,107,167"
	"129,115,6"	"56,106,167"
	"126,100,3"	"57,105,167"
	"120,100,1"	"54,102,164"
	"119,101,0"	"51,138,158"
	"136,92,3"	"61,145,169"
	"144,90,4"	"47,123,147"
	"133,94,1"	"50,124,149"
	"147,86,5"	"48,122,147"
	"147,86,3"	"50,122,147"
	"135,118,2"	"52,124,149"
	"135,113,2"	"53,123,149"
	"135,112,6"	"52,122,148"
	"133,116,10"	"51,121,147"
	"130,100,4"	"53,120,147"
	"124,99,0"	"52,119,146"
	"124,100,0"	"50,119,148"
	"121,98,2"	"49,120,148"
	"119,98,5"	"48,119,147"
	"125,99,6"	"46,120,147"
	"124,99,6"	"53,103,166"
	"134,93,5"	"54,103,169"
	"140,90,3"	"55,103,167"
	"142,88,2"	"58,104,166"
	"146,90,7"	"59,105,167"
	"145,89,4"	"55,109,169"
	"135,105,7"	"65,148,166"
	"133,100,3"	"63,146,164"
	"124,98,1"	"61,144,162"
	"129,95,5"	"62,145,163"
	"130,95,5"	"59,145,162"
	"138,88,3"	"61,147,164"
	"137,93,4"	"63,145,166"
	"126,92,5"	"64,146,167"
	"122,92,6"	"63,145,167"
	"121,93,9"	"60,145,166"
	"120,94,7"	"56,140,166"
	"121,97,0"	"55,143,153"
	"123,94,0"	"54,141,151"
	"132,90,4"	"54,140,155"
	"135,90,5"	"53,139,154"
	"133,103,5"	"56,139,155"
	"132,102,4"	"48,127,144"
	"130,100,2"	"47,126,143"
	"125,99,2"	"50,122,144"
	"133,95,0"	"49,121,145"
	"137,94,2"	"67,74,120"
	"119,94,12"	"72,73,121"
	"128,95,2"	"71,72,120"
	"128,93,1"	"71,71,121"
	"135,88,8"	"72,72,122"
	"132,97,0"	"71,73,122"
	"136,93,0"	"68,72,120"
	"117,96,5"	"67,71,119"
	"130,90,3"	"55,119,167"
	"135,96,5"	"55,117,168"
	"129,93,0"	"54,116,167"
	"120,96,0"	"54,111,166"
	"119,96,2"	"53,108,164"
	"134,90,1"	"55,107,164"
	"123,93,7"	"57,108,165"
	"121,94,7"	"58,109,166"
	"134,94,6"	"59,108,166"
	"128,98,0"	"57,109,166"
	"127,99,2"	"67,150,164"
	"134,95,28"	"68,150,164"
	"124,93,2"	"69,151,165"
	"151,84,3"	"64,150,165"
	"152,85,4"	"67,148,167"
	"145,89,2"	"66,149,167"
	"152,95,5"	"63,149,166"
	"158,92,5"	"61,148,165"
	"152,81,3"	"55,143,167"
	"152,83,5"	"48,136,160"
	"156,85,5"	"58,144,169"
	"154,86,5"	"58,145,165"
	"153,85,4"	"44,132,146"
	"151,98,2"	"47,135,149"
	"152,97,4"	"51,127,153"
	"155,82,5"	"49,125,151"
	"158,82,6"	"50,126,152"
	"157,81,5"	"48,122,151"
	"177,69,4"	"49,123,152"
	"177,67,4"	"47,122,151"
	"180,68,5"	"45,122,152"
	"181,67,5"	"68,76,125"
	"179,67,4"	"61,107,167"
	"176,66,3"	"57,109,167"
	"173,68,3"	"60,145,165"
	"171,68,2"	"56,138,159"
	"172,69,3"	"60,142,163"
	"175,72,5"	"50,141,162"
	"174,69,3"	"51,142,163"
	"182,66,5"	"48,136,158"
	"180,66,4"	"58,144,167"
	"170,68,2"	"55,111,168"
	"171,69,3"	"53,109,166"
	"174,73,5"	"52,108,167"
	"174,71,4"	"57,109,169"
	"176,68,4"	"68,149,166"
	"182,68,6"	"67,148,165"
	"169,70,3"	"65,146,163"
	"154,87,6"	"65,146,165"
	"153,88,6"	"68,146,166"
	"152,90,3"	"66,144,164"
	"151,91,3"	"63,144,163"
	"147,93,3"	"52,145,152"
	"144,95,3"	"54,144,152"
	"140,96,1"	"53,141,153"
	"161,91,3"	"51,141,152"
		"44,136,147"
		"47,139,150"
		"50,142,153"
		"53,143,154"
		"52,142,151"
		"53,140,150"
		"55,142,152"
		"45,128,144"
		"46,129,145"
		"46,127,144"
		"69,71,120"
		"52,120,167"
		"53,119,167"
		"57,119,166"
		"58,119,166"
		"58,118,168"
		"59,116,169"
		"58,115,168"
		"57,112,168"
		"56,111,167"
		"58,110,167"
		"58,110,168"
		"62,148,161"
		"63,149,162"
		"61,149,161"
		"60,146,159"
		"59,145,158"
		"69,152,166"
		"69,150,167"
		"68,151,167"
		"60,148,162"
		"61,149,163"
		"51,141,165"
		"49,135,160"
		"51,135,159"
		"61,143,167"
		"58,140,164"
		"49,139,150"
		"46,129,147"
		"44,130,147"
		"47,132,152"
		"49,131,152"
		"47,127,150"
		"48,128,151"
		"48,123,152"
		"55,126,156"
		"54,125,157"
		"53,107,169"
		"53,108,165"
		"59,146,166"
		"47,135,159"
		"50,140,164"
		"57,139,163"
		"47,123,149"
		"48,122,149"
		"53,124,152"
		"52,123,151"
		"52,121,150"
		"51,120,149"
		"51,120,151"
		"49,120,150"
		"57,103,165"
		"58,141,159"
		"60,143,161"
		"52,139,149"
		"49,126,144"
		"48,125,143"
		"47,124,142"
		"51,123,145"
		"49,121,143"
		"52,123,145"
		"53,117,165"
		"52,112,166"
		"51,111,165"
		"58,108,167"
		"60,109,168"
		"61,148,167"
		"52,140,160"
		"47,133,150"
		"52,129,155"
		"65,73,122"
		"47,139,160"
		"48,124,147"
		"56,111,168"
		"55,110,167"
		"67,144,164"
		"65,143,163"
		"51,139,159"
		"52,142,150"
		"51,141,149"
		"54,142,152"
		"55,143,155"
		"52,142,153"
		"50,127,145"
		"46,125,142"
		"66,73,119"
		"51,119,166"
		"55,119,165"
		"56,118,165"
		"56,118,167"
		"57,117,167"
		"58,116,166"
		"57,115,165"
		"56,111,165"
		"61,147,160"
		"68,154,167"
		"46,136,160"
		"52,139,156"
		"47,125,148"
		"46,124,147"
		"47,127,154"
		"48,128,155"
		"51,128,156"
		"51,126,155"
		"50,125,156"
		"49,105,166"
		"60,106,168"
		"49,123,148"
		"51,123,148"
		"56,106,169"
		"56,107,170"
		"54,108,170"
		"62,145,161"
		"65,146,167"
		"64,145,166"
		"51,139,153"
		"57,140,154"
		"64,72,118"
		"70,72,120"
		"55,122,167"
		"54,120,168"
		"56,120,168"
		"55,118,169"
		"54,114,166"
		"55,112,167"
		"52,107,163"
		"60,109,167"
		"63,149,164"
